fish_key,otolith_key,prefix,fish_index,single,selected_view,embedded_file_name,embedded_file_path,not_embedded_file_name,not_embedded_file_path
2022_bias_her_glebiagdanska_fishindex17,2022_bias_her_glebiagdanska_fishindex17_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex17,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex17_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex17_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex17_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex17_Single1_Left.jpg
2022_bias_her_glebiagdanska_fishindex17,2022_bias_her_glebiagdanska_fishindex17_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex17,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex17_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex17_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex17_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex17_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex23,2022_bias_her_glebiagdanska_fishindex23_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex23,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex23_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex23_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex23_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex23_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex23,2022_bias_her_glebiagdanska_fishindex23_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex23,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex23_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex23_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex23_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex23_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex24,2022_bias_her_glebiagdanska_fishindex24_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex24,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex24_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex24_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex24_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex24_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex24,2022_bias_her_glebiagdanska_fishindex24_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex24,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex24_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex24_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex24_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex24_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex28,2022_bias_her_glebiagdanska_fishindex28_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex28,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex28_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex28_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex28_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex28_Single1_Left.jpg
2022_bias_her_glebiagdanska_fishindex28,2022_bias_her_glebiagdanska_fishindex28_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex28,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex28_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex28_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex28_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex28_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex30,2022_bias_her_glebiagdanska_fishindex30_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex30,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex30_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex30_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex30_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex30_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex30,2022_bias_her_glebiagdanska_fishindex30_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex30,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex30_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex30_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex30_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex30_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex31,2022_bias_her_glebiagdanska_fishindex31_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex31,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex31_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex31_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex31_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex31_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex31,2022_bias_her_glebiagdanska_fishindex31_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex31,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex31_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex31_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex31_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex31_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex32,2022_bias_her_glebiagdanska_fishindex32_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex32,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex32_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex32_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex32_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex32_Single1_Left.jpg
2022_bias_her_glebiagdanska_fishindex32,2022_bias_her_glebiagdanska_fishindex32_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex32,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex32_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex32_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex32_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex32_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex33,2022_bias_her_glebiagdanska_fishindex33_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex33,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex33_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex33_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex33_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex33_Single1_Left.jpg
2022_bias_her_glebiagdanska_fishindex33,2022_bias_her_glebiagdanska_fishindex33_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex33,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex33_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex33_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex33_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex33_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex36,2022_bias_her_glebiagdanska_fishindex36_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex36,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex36_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex36_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex36_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex36_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex37,2022_bias_her_glebiagdanska_fishindex37_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex37,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex37_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex37_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex37_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex37_Single1_Left.jpg
2022_bias_her_glebiagdanska_fishindex37,2022_bias_her_glebiagdanska_fishindex37_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex37,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex37_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex37_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex37_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex37_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex38,2022_bias_her_glebiagdanska_fishindex38_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex38,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex38_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex38_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex38_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex38_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex39,2022_bias_her_glebiagdanska_fishindex39_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex39,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex39_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex39_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex39_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex39_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex39,2022_bias_her_glebiagdanska_fishindex39_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex39,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex39_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex39_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex39_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex39_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex41,2022_bias_her_glebiagdanska_fishindex41_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex41,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex41_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex41_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex41_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex41_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex41,2022_bias_her_glebiagdanska_fishindex41_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex41,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex41_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex41_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex41_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex41_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex42,2022_bias_her_glebiagdanska_fishindex42_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex42,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex42_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex42_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex42_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex42_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex42,2022_bias_her_glebiagdanska_fishindex42_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex42,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex42_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex42_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex42_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex42_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex44,2022_bias_her_glebiagdanska_fishindex44_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex44,Single2,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex44_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex44_Single2_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex44_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex44_Single2_Right.jpg
2022_bias_her_glebiagdanska_fishindex45,2022_bias_her_glebiagdanska_fishindex45_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex45,Single1,Right,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex45_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex45_Single1_Right.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex45_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex45_Single1_Right.jpg
2022_bias_her_glebiagdanska_fishindex45,2022_bias_her_glebiagdanska_fishindex45_single2,2022_BIAS_HER_GlebiaGdanska,FishIndex45,Single2,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex45_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex45_Single2_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex45_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex45_Single2_Left.jpg
2022_bias_her_glebiagdanska_fishindex48,2022_bias_her_glebiagdanska_fishindex48_single1,2022_BIAS_HER_GlebiaGdanska,FishIndex48,Single1,Left,2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex48_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex48_Single1_Left.jpg,2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex48_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex48_Single1_Left.jpg
